 3.11815000e+00 NaN 8.98223725e-02 NaN 2.22753056e-02
 3.15085000e+00 -2.52732869e-01 2.97918710e-02 8.73687669e-02 2.77593610e-02
 3.18345000e+00 3.65723186e-01 4.16571741e-02 3.72136745e-02 1.38551834e-02
 3.21625000e+00 4.84987114e-01 1.20575123e-01 9.56948806e-02 5.91942840e-02
 3.24925000e+00 3.10179052e-01 6.95458638e-02 2.52767846e-01 3.64983259e-02
 3.28190000e+00 1.75918219e-01 2.65174552e-02 1.88310200e-01 2.00470684e-02
 3.31495000e+00 3.26808550e-01 2.97567556e-02 1.36395770e-01 1.84537255e-02
 3.34800000e+00 5.28497557e-01 4.01277069e-02 1.92791450e-01 2.80418632e-02
 3.38080000e+00 4.88532597e-01 2.53134627e-02 3.10317169e-01 3.17558535e-02
 3.41375000e+00 5.69695050e-01 2.38902107e-02 1.48274146e-01 3.52833073e-02
 3.44665000e+00 4.22197576e-01 3.13528841e-02 1.63994995e-01 2.59401163e-02
 3.47985000e+00 3.76322727e-01 4.61525611e-02 1.90851647e-01 4.03091837e-02
 3.51360000e+00 5.76975098e-01 3.76218832e-02 1.61767777e-01 4.22638517e-02
 3.54660000e+00 5.10784566e-01 2.31921823e-02 1.79703257e-01 3.18514371e-02
 3.57940000e+00 5.52222292e-01 2.16172297e-02 1.39112493e-01 2.43249255e-02
 3.61210000e+00 3.23334910e-01 1.40846798e-02 1.55520170e-01 1.30740555e-02
 3.64490000e+00 3.46130934e-01 8.69037641e-03 2.25462037e-01 1.01600395e-02
 3.67840000e+00 2.86853029e-01 6.78464405e-03 2.68950633e-01 9.05830292e-03
 3.71100000e+00 3.25698210e-01 2.77737689e-02 2.62245726e-01 2.58956278e-02
 3.74370000e+00 1.44735284e-01 1.85222543e-02 1.06490823e-01 1.89056721e-02
 3.77635000e+00 6.38648809e-02 7.78681469e-03 1.33003130e-01 8.01569886e-03
 3.80920000e+00 2.59703086e-01 1.41036711e-02 5.93626826e-02 1.00473417e-02
 3.84175000e+00 2.83502046e-01 1.59026873e-02 1.35880696e-01 1.40376213e-02
 3.87435000e+00 2.93004804e-01 1.03600026e-02 1.26944848e-01 1.36000489e-02
 3.90695000e+00 2.49903955e-01 7.21270886e-03 1.88779117e-01 1.82312308e-02
 3.94010000e+00 2.11897804e-01 1.64601860e-02 1.53007962e-01 1.33449080e-02
 3.97300000e+00 2.37857938e-01 2.06050929e-02 1.32108809e-01 1.69879763e-02
 4.00590000e+00 2.77412298e-01 3.09546491e-02 1.39770687e-01 3.54542062e-02
 4.03910000e+00 5.47685869e-02 3.72915927e-02 2.81749966e-01 2.94057653e-02
 4.07175000e+00 7.75364797e-02 4.09896187e-02 2.72796593e-01 4.47373598e-02
 4.10475000e+00 1.50198992e-01 1.72383564e-02 1.60562187e-01 2.56089493e-02
 4.13740000e+00 1.83680551e-01 4.18408506e-03 1.68237403e-01 8.06611439e-03
 4.16995000e+00 3.23525309e-01 1.84543616e-02 1.84542506e-01 2.61218001e-02
