 0.00000000e+00 2.50000000e+00 7.50000000e+00 1.25000000e+01 1.75000000e+01 2.25000000e+01 2.75000000e+01 3.25000000e+01 3.75000000e+01 4.25000000e+01 4.75000000e+01 5.25000000e+01 5.75000000e+01 6.25000000e+01 6.75000000e+01 7.25000000e+01 2.50000000e+00 7.50000000e+00 1.25000000e+01 1.75000000e+01 2.25000000e+01 2.75000000e+01 3.25000000e+01 3.75000000e+01 4.25000000e+01 4.75000000e+01 5.25000000e+01 5.75000000e+01 6.25000000e+01 6.75000000e+01 7.25000000e+01
 3.11815000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.04486513e-02 7.37658185e-02 1.15252648e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
 3.15085000e+00 NaN NaN NaN -3.14511916e-01 -1.90953821e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.10881986e-02 8.14478789e-03 2.01426265e-02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
 3.18345000e+00 NaN NaN NaN 3.92037227e-01 3.39409144e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.22093067e-02 2.75341779e-02 5.52280377e-02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
 3.21625000e+00 NaN NaN NaN 4.13859319e-01 4.47317565e-01 5.93784459e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.72584639e-02 9.78057167e-02 1.69578760e-01 1.67657551e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
 3.24925000e+00 NaN NaN NaN 5.92131850e-01 2.34536784e-01 1.03868522e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.93038958e-02 4.93367713e-02 9.13632246e-02 1.08179563e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
 3.28190000e+00 NaN NaN NaN 9.47883821e-02 4.17713930e-02 3.91194883e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.35690170e-03 5.84630785e-03 3.10625117e-02 4.22737380e-02 4.80478165e-02 NaN NaN NaN NaN NaN NaN NaN NaN
 3.31495000e+00 NaN NaN NaN 2.43132140e-01 2.53093738e-01 4.84199773e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.09653411e-03 2.36473614e-02 2.77662850e-02 4.88651004e-02 4.54084970e-02 NaN NaN NaN NaN NaN NaN NaN NaN
 3.34800000e+00 NaN NaN NaN 7.39453420e-01 3.61442350e-01 4.84596899e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.06290476e-03 5.95044815e-02 1.42197037e-02 5.95035556e-02 6.23478889e-02 NaN NaN NaN NaN NaN NaN NaN NaN
 3.38080000e+00 NaN NaN NaN 9.34981601e-01 2.15569223e-01 3.98971343e-01 4.04608219e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.34829650e-03 7.84226113e-02 -1.73887546e-03 1.66035287e-02 2.79317523e-02 NaN NaN NaN NaN NaN NaN NaN NaN
 3.41375000e+00 NaN NaN NaN 5.83305596e-01 3.71069089e-01 7.30036364e-01 5.94369151e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.08961651e-03 1.35300224e-02 -6.14875119e-03 2.56404272e-02 8.33397388e-02 NaN NaN NaN NaN NaN NaN NaN NaN
 3.44665000e+00 NaN NaN NaN 2.12861533e-01 4.14808381e-01 6.12175087e-01 4.48945302e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.43783773e-02 1.90473601e-02 2.17768586e-03 1.68311152e-02 7.05632162e-02 5.51195500e-02 NaN NaN NaN NaN NaN NaN NaN
