 0.00000000e+00 1.05000000e+01 1.18130000e+01 1.31250000e+01 1.44380000e+01 1.57500000e+01
 1.17600000e-02 1.14440000e-02 2.28880000e-02 0.00000000e+00 1.14440000e-02 1.14440000e-02
 4.50200000e-02 -1.14440000e-02 3.43320000e-02 1.14440000e-02 -9.15530000e-02 -3.43320000e-02
 7.86800000e-02 4.57760000e-02 -1.14440000e-02 2.28880000e-02 1.14440000e-01 5.72200000e-02
 1.11320000e-01 3.43320000e-02 NaN 2.28880000e-02 4.57760000e-02 1.14440000e-02
 1.44050000e-01 2.28880000e-02 NaN NaN -8.01090000e-02 -2.28880000e-02
 1.77310000e-01 2.28880000e-02 3.43320000e-02 3.43320000e-02 6.86650000e-02 6.86650000e-02
 2.10410000e-01 -1.14440000e-02 2.28880000e-02 4.57760000e-02 -1.14440000e-02 3.43320000e-02
 2.43070000e-01 3.43320000e-02 NaN 2.28880000e-02 -1.48770000e-01 1.14440000e-02
 2.76140000e-01 -3.43320000e-02 NaN 2.28880000e-02 -3.43320000e-02 1.14440000e-02
 3.08840000e-01 6.86650000e-02 NaN 3.43320000e-02 -1.37330000e-01 3.43320000e-02
 3.41540000e-01 1.37330000e-01 NaN 1.14440000e-02 -1.14440000e-01 3.43320000e-02
 3.74050000e-01 -2.28880000e-02 2.28880000e-02 2.28880000e-02 1.25890000e-01 -2.28880000e-02
 4.06620000e-01 6.86650000e-02 1.14440000e-02 1.14440000e-02 1.94550000e-01 -1.14440000e-02
 4.38930000e-01 2.28880000e-02 NaN 1.14440000e-02 1.37330000e-01 -1.14440000e-02
 4.71220000e-01 2.28880000e-02 NaN 1.14440000e-02 1.14440000e-01 -2.28880000e-02
 5.03740000e-01 -2.28880000e-02 5.72200000e-02 1.14440000e-02 -1.14440000e-01 6.86650000e-02
 5.36490000e-01 -2.28880000e-02 1.14440000e-02 2.28880000e-02 NaN 6.86650000e-02
 5.69210000e-01 1.14440000e-02 5.72200000e-02 2.28880000e-02 -1.14440000e-01 1.14440000e-02
 6.02100000e-01 -9.15530000e-02 3.43320000e-02 3.43320000e-02 -1.60220000e-01 1.14440000e-02
 6.35220000e-01 6.86650000e-02 NaN -1.14440000e-02 5.72200000e-02 -1.14440000e-02
 6.67690000e-01 -4.57760000e-02 1.14440000e-02 3.43320000e-02 1.14440000e-02 NaN
 7.00690000e-01 -1.03000000e-01 1.14440000e-02 3.43320000e-02 -1.14440000e-02 1.14440000e-02
 7.33190000e-01 2.28880000e-02 NaN 1.14440000e-02 -8.01090000e-02 2.28880000e-02
 7.65520000e-01 -5.72200000e-02 NaN -1.14440000e-02 8.01090000e-02 -3.43320000e-02
 7.97910000e-01 8.01090000e-02 NaN NaN 1.14440000e-01 3.43320000e-02
 8.30110000e-01 -9.15530000e-02 2.28880000e-02 NaN -1.03000000e-01 -1.14440000e-02
 8.62660000e-01 -4.57760000e-02 4.57760000e-02 1.14440000e-02 1.14440000e-02 -1.14440000e-02
 8.95510000e-01 3.43320000e-02 -1.14440000e-02 NaN 6.86650000e-02 -1.14440000e-02
 9.27830000e-01 1.14440000e-02 5.72200000e-02 NaN -8.01090000e-02 NaN
 9.60620000e-01 2.28880000e-02 NaN 1.14440000e-02 -6.86650000e-02 -3.43320000e-02
 9.93130000e-01 NaN NaN 1.14440000e-02 -8.01090000e-02 -1.14440000e-02
 1.02550000e+00 -3.43320000e-02 4.57760000e-02 1.14440000e-02 -4.57760000e-02 -2.28880000e-02
 1.05860000e+00 -3.43320000e-02 3.43320000e-02 2.28880000e-02 6.86650000e-02 2.28880000e-02
 1.09110000e+00 8.01090000e-02 -1.14440000e-02 NaN -8.01090000e-02 -1.37330000e-01
 1.12380000e+00 -3.43320000e-02 2.28880000e-02 -1.14440000e-02 -2.28880000e-01 -2.28880000e-02
 1.15640000e+00 NaN NaN -1.14440000e-02 -2.74660000e-01 NaN
 1.18920000e+00 -6.86650000e-02 -2.28880000e-02 -1.14440000e-02 -1.94550000e-01 -1.14440000e-01
 1.22220000e+00 -5.72200000e-02 -1.14440000e-02 -2.28880000e-02 -5.72200000e-01 -4.23430000e-01
 1.25480000e+00 -8.01090000e-02 NaN NaN NaN -2.40330000e-01
 1.28770000e+00 -6.86650000e-02 NaN 1.14440000e-02 1.03000000e-01 -4.57760000e-02
 1.32100000e+00 -4.11990000e-01 NaN -1.14440000e-02 -2.28880000e-01 -3.77660000e-01
 1.35350000e+00 -3.66210000e-01 2.28880000e-02 -8.01090000e-02 -5.14980000e-01 -5.95090000e-01
 1.38630000e+00 -9.49860000e-01 NaN 1.14440000e-02 -1.94550000e-01 -5.26430000e-01
 1.41960000e+00 -6.86650000e-02 -3.43320000e-02 -2.63210000e-01 -8.01090000e-02 -4.00540000e-01
 1.45200000e+00 1.14440000e-02 -2.28880000e-02 -2.28880000e-01 -3.08990000e-01 -6.06540000e-01
